 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing   *                      
 1.80000000000000E+0000  8.08230137134282E+0000  2.59926787083761E+0000  4.85789435047037E+0000  6.25139150034839E-0001  0.00000000000000E+0000 
 1.80100000000000E+0000  8.07925720534709E+0000  2.59890340619083E+0000  4.85603283563116E+0000  6.24320963525093E-0001  0.00000000000000E+0000 
 1.80200000000000E+0000  8.07621761728885E+0000  2.59854131474699E+0000  4.85417174882862E+0000  6.23504553713238E-0001  0.00000000000000E+0000 
 1.80300000000000E+0000  8.07318260691539E+0000  2.59818159746945E+0000  4.85231109456706E+0000  6.22689914878880E-0001  0.00000000000000E+0000 
 1.80400000000000E+0000  8.07015217396910E+0000  2.59782425532456E+0000  4.85045087731766E+0000  6.21877041326873E-0001  0.00000000000000E+0000 
 1.80500000000000E+0000  8.06712631818751E+0000  2.59746928928164E+0000  4.84859110151869E+0000  6.21065927387181E-0001  0.00000000000000E+0000 
 1.80600000000000E+0000  8.06410503930339E+0000  2.59711670031296E+0000  4.84673177157570E+0000  6.20256567414731E-0001  0.00000000000000E+0000 
 1.80700000000000E+0000  8.06108833704484E+0000  2.59676648939375E+0000  4.84487289186181E+0000  6.19448955789276E-0001  0.00000000000000E+0000 
 1.80800000000000E+0000  8.05807621113528E+0000  2.59641865750215E+0000  4.84301446671788E+0000  6.18643086915252E-0001  0.00000000000000E+0000 
 1.80900000000000E+0000  8.05506866129363E+0000  2.59607320561922E+0000  4.84115650045277E+0000  6.17838955221638E-0001  0.00000000000000E+0000 
 1.81000000000000E+0000  8.05206568723427E+0000  2.59573013472893E+0000  4.83929899734353E+0000  6.17036555161818E-0001  0.00000000000000E+0000 
 1.81100000000000E+0000  8.04906728866720E+0000  2.59538944581811E+0000  4.83744196163565E+0000  6.16235881213447E-0001  0.00000000000000E+0000 
 1.81200000000000E+0000  8.04607346529804E+0000  2.59505113987649E+0000  4.83558539754324E+0000  6.15436927878310E-0001  0.00000000000000E+0000 
 1.81300000000000E+0000  8.04308421682812E+0000  2.59471521789665E+0000  4.83372930924928E+0000  6.14639689682187E-0001  0.00000000000000E+0000 
 1.81400000000000E+0000  8.04009954295457E+0000  2.59438168087402E+0000  4.83187370090582E+0000  6.13844161174718E-0001  0.00000000000000E+0000 
 1.81500000000000E+0000  8.03711944337033E+0000  2.59405052980686E+0000  4.83001857663419E+0000  6.13050336929276E-0001  0.00000000000000E+0000 
 1.81600000000000E+0000  8.03414391776428E+0000  2.59372176569625E+0000  4.82816394052521E+0000  6.12258211542823E-0001  0.00000000000000E+0000 
 1.81700000000000E+0000  8.03117296582125E+0000  2.59339538954607E+0000  4.82630979663939E+0000  6.11467779635787E-0001  0.00000000000000E+0000 
 1.81800000000000E+0000  8.02820658722210E+0000  2.59307140236300E+0000  4.82445614900717E+0000  6.10679035851925E-0001  0.00000000000000E+0000 
 1.81900000000000E+0000  8.02524478164379E+0000  2.59274980515651E+0000  4.82260300162908E+0000  6.09891974858198E-0001  0.00000000000000E+0000 
 1.82000000000000E+0000  8.02228754875945E+0000  2.59243059893882E+0000  4.82075035847599E+0000  6.09106591344639E-0001  0.00000000000000E+0000 
 1.82100000000000E+0000  8.01933488823839E+0000  2.59211378472491E+0000  4.81889822348926E+0000  6.08322880024224E-0001  0.00000000000000E+0000 
 1.82200000000000E+0000  8.01638679974624E+0000  2.59179936353251E+0000  4.81704660058099E+0000  6.07540835632745E-0001  0.00000000000000E+0000 
 1.82300000000000E+0000  8.01344328294494E+0000  2.59148733638207E+0000  4.81519549363419E+0000  6.06760452928686E-0001  0.00000000000000E+0000 
 1.82400000000000E+0000  8.01050433749283E+0000  2.59117770429675E+0000  4.81334490650298E+0000  6.05981726693093E-0001  0.00000000000000E+0000 
 1.82500000000000E+0000  8.00756996304470E+0000  2.59087046830244E+0000  4.81149484301281E+0000  6.05204651729453E-0001  0.00000000000000E+0000 
 1.82600000000000E+0000  8.00464015925187E+0000  2.59056562942769E+0000  4.80964530696061E+0000  6.04429222863566E-0001  0.00000000000000E+0000 
 1.82700000000000E+0000  8.00171492576221E+0000  2.59026318870376E+0000  4.80779630211503E+0000  6.03655434943426E-0001  0.00000000000000E+0000 
 1.82800000000000E+0000  7.99879426222022E+0000  2.58996314716454E+0000  4.80594783221659E+0000  6.02883282839096E-0001  0.00000000000000E+0000 
 1.82900000000000E+0000  7.99587816826708E+0000  2.58966550584660E+0000  4.80409990097789E+0000  6.02112761442587E-0001  0.00000000000000E+0000 
 1.83000000000000E+0000  7.99296664354071E+0000  2.58937026578915E+0000  4.80225251208382E+0000  6.01343865667734E-0001  0.00000000000000E+0000 
 1.83100000000000E+0000  7.99005968767582E+0000  2.58907742803403E+0000  4.80040566919170E+0000  6.00576590450087E-0001  0.00000000000000E+0000 
 1.83200000000000E+0000  7.98715730030395E+0000  2.58878699362568E+0000  4.79855937593149E+0000  5.99810930746776E-0001  0.00000000000000E+0000 
 1.83300000000000E+0000  7.98425948105357E+0000  2.58849896361117E+0000  4.79671363590600E+0000  5.99046881536406E-0001  0.00000000000000E+0000 
 1.83400000000000E+0000  7.98136622955008E+0000  2.58821333904014E+0000  4.79486845269100E+0000  5.98284437818931E-0001  0.00000000000000E+0000 
 1.83500000000000E+0000  7.97847754541587E+0000  2.58793012096484E+0000  4.79302382983549E+0000  5.97523594615545E-0001  0.00000000000000E+0000 
 1.83600000000000E+0000  7.97559342827043E+0000  2.58764931044007E+0000  4.79117977086181E+0000  5.96764346968557E-0001  0.00000000000000E+0000 
 1.83700000000000E+0000  7.97271387773032E+0000  2.58737090852318E+0000  4.78933627926585E+0000  5.96006689941283E-0001  0.00000000000000E+0000 
 1.83800000000000E+0000  7.96983889340926E+0000  2.58709491627410E+0000  4.78749335851724E+0000  5.95250618617928E-0001  0.00000000000000E+0000 
 1.83900000000000E+0000  7.96696847491821E+0000  2.58682133475526E+0000  4.78565101205948E+0000  5.94496128103476E-0001  0.00000000000000E+0000 
 1.84000000000000E+0000  7.96410262186535E+0000  2.58655016503163E+0000  4.78380924331015E+0000  5.93743213523571E-0001  0.00000000000000E+0000 
 1.84100000000000E+0000  7.96124133385619E+0000  2.58628140817069E+0000  4.78196805566109E+0000  5.92991870024410E-0001  0.00000000000000E+0000 
 1.84200000000000E+0000  7.95838461049360E+0000  2.58601506524243E+0000  4.78012745247854E+0000  5.92242092772630E-0001  0.00000000000000E+0000 
