 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing       (X)cp - Wing-Tail      
 1.80000000000000E+0000  3.96107411234696E+0002  1.25910982844573E+0002  5.23910688310253E+0002  5.26411324288344E+0002  0.00000000000000E+0000 
 1.80100000000000E+0000  3.96067058144597E+0002  1.25879295584914E+0002  5.23911178497724E+0002  5.26411311989276E+0002  0.00000000000000E+0000 
 1.80200000000000E+0000  3.96026707351131E+0002  1.25847840999628E+0002  5.23911667269427E+0002  5.26411299678908E+0002  0.00000000000000E+0000 
 1.80300000000000E+0000  3.95986358522777E+0002  1.25816618174220E+0002  5.23912154630054E+0002  5.26411287357308E+0002  0.00000000000000E+0000 
 1.80400000000000E+0000  3.95946011328404E+0002  1.25785626195989E+0002  5.23912640584275E+0002  5.26411275024543E+0002  0.00000000000000E+0000 
 1.80500000000000E+0000  3.95905665437271E+0002  1.25754864154016E+0002  5.23913125136745E+0002  5.26411262680679E+0002  0.00000000000000E+0000 
 1.80600000000000E+0000  3.95865320519026E+0002  1.25724331139158E+0002  5.23913608292099E+0002  5.26411250325782E+0002  0.00000000000000E+0000 
 1.80700000000000E+0000  3.95824976243708E+0002  1.25694026244039E+0002  5.23914090054954E+0002  5.26411237959919E+0002  0.00000000000000E+0000 
 1.80800000000000E+0000  3.95784632281740E+0002  1.25663948563046E+0002  5.23914570429908E+0002  5.26411225583154E+0002  0.00000000000000E+0000 
 1.80900000000000E+0000  3.95744288303933E+0002  1.25634097192315E+0002  5.23915049421543E+0002  5.26411213195553E+0002  0.00000000000000E+0000 
 1.81000000000000E+0000  3.95703943981483E+0002  1.25604471229730E+0002  5.23915527034421E+0002  5.26411200797182E+0002  0.00000000000000E+0000 
 1.81100000000000E+0000  3.95663598985970E+0002  1.25575069774913E+0002  5.23916003273085E+0002  5.26411188388103E+0002  0.00000000000000E+0000 
 1.81200000000000E+0000  3.95623252989357E+0002  1.25545891929215E+0002  5.23916478142064E+0002  5.26411175968383E+0002  0.00000000000000E+0000 
 1.81300000000000E+0000  3.95582905663990E+0002  1.25516936795710E+0002  5.23916951645865E+0002  5.26411163538086E+0002  0.00000000000000E+0000 
 1.81400000000000E+0000  3.95542556682597E+0002  1.25488203479189E+0002  5.23917423788979E+0002  5.26411151097274E+0002  0.00000000000000E+0000 
 1.81500000000000E+0000  3.95502205718284E+0002  1.25459691086149E+0002  5.23917894575881E+0002  5.26411138646012E+0002  0.00000000000000E+0000 
 1.81600000000000E+0000  3.95461852444539E+0002  1.25431398724790E+0002  5.23918364011026E+0002  5.26411126184364E+0002  0.00000000000000E+0000 
 1.81700000000000E+0000  3.95421496535228E+0002  1.25403325505005E+0002  5.23918832098852E+0002  5.26411113712391E+0002  0.00000000000000E+0000 
 1.81800000000000E+0000  3.95381137664592E+0002  1.25375470538372E+0002  5.23919298843781E+0002  5.26411101230157E+0002  0.00000000000000E+0000 
 1.81900000000000E+0000  3.95340775507252E+0002  1.25347832938151E+0002  5.23919764250216E+0002  5.26411088737725E+0002  0.00000000000000E+0000 
 1.82000000000000E+0000  3.95300409738202E+0002  1.25320411819272E+0002  5.23920228322544E+0002  5.26411076235156E+0002  0.00000000000000E+0000 
 1.82100000000000E+0000  3.95260040032811E+0002  1.25293206298331E+0002  5.23920691065135E+0002  5.26411063722513E+0002  0.00000000000000E+0000 
 1.82200000000000E+0000  3.95219666066823E+0002  1.25266215493582E+0002  5.23921152482340E+0002  5.26411051199857E+0002  0.00000000000000E+0000 
 1.82300000000000E+0000  3.95179287516353E+0002  1.25239438524929E+0002  5.23921612578495E+0002  5.26411038667250E+0002  0.00000000000000E+0000 
 1.82400000000000E+0000  3.95138904057888E+0002  1.25212874513922E+0002  5.23922071357919E+0002  5.26411026124753E+0002  0.00000000000000E+0000 
 1.82500000000000E+0000  3.95098515368287E+0002  1.25186522583746E+0002  5.23922528824913E+0002  5.26411013572426E+0002  0.00000000000000E+0000 
 1.82600000000000E+0000  3.95058121124778E+0002  1.25160381859218E+0002  5.23922984983762E+0002  5.26411001010331E+0002  0.00000000000000E+0000 
 1.82700000000000E+0000  3.95017721004958E+0002  1.25134451466776E+0002  5.23923439838736E+0002  5.26410988438528E+0002  0.00000000000000E+0000 
 1.82800000000000E+0000  3.94977314686791E+0002  1.25108730534476E+0002  5.23923893394084E+0002  5.26410975857077E+0002  0.00000000000000E+0000 
 1.82900000000000E+0000  3.94936901848609E+0002  1.25083218191985E+0002  5.23924345654044E+0002  5.26410963266038E+0002  0.00000000000000E+0000 
 1.83000000000000E+0000  3.94896482169110E+0002  1.25057913570570E+0002  5.23924796622833E+0002  5.26410950665470E+0002  0.00000000000000E+0000 
 1.83100000000000E+0000  3.94856055327358E+0002  1.25032815803096E+0002  5.23925246304654E+0002  5.26410938055433E+0002  0.00000000000000E+0000 
 1.83200000000000E+0000  3.94815621002779E+0002  1.25007924024016E+0002  5.23925694703693E+0002  5.26410925435986E+0002  0.00000000000000E+0000 
 1.83300000000000E+0000  3.94775178875163E+0002  1.24983237369368E+0002  5.23926141824121E+0002  5.26410912807188E+0002  0.00000000000000E+0000 
 1.83400000000000E+0000  3.94734728624665E+0002  1.24958754976765E+0002  5.23926587670092E+0002  5.26410900169097E+0002  0.00000000000000E+0000 
 1.83500000000000E+0000  3.94694269931797E+0002  1.24934475985390E+0002  5.23927032245743E+0002  5.26410887521772E+0002  0.00000000000000E+0000 
 1.83600000000000E+0000  3.94653802477435E+0002  1.24910399535988E+0002  5.23927475555197E+0002  5.26410874865270E+0002  0.00000000000000E+0000 
 1.83700000000000E+0000  3.94613325942814E+0002  1.24886524770861E+0002  5.23927917602560E+0002  5.26410862199650E+0002  0.00000000000000E+0000 
 1.83800000000000E+0000  3.94572840009526E+0002  1.24862850833863E+0002  5.23928358391921E+0002  5.26410849524970E+0002  0.00000000000000E+0000 
 1.83900000000000E+0000  3.94532344359523E+0002  1.24839376870389E+0002  5.23928797927357E+0002  5.26410836841286E+0002  0.00000000000000E+0000 
 1.84000000000000E+0000  3.94491838675112E+0002  1.24816102027373E+0002  5.23929236212925E+0002  5.26410824148655E+0002  0.00000000000000E+0000 
 1.84100000000000E+0000  3.94451322638957E+0002  1.24793025453279E+0002  5.23929673252669E+0002  5.26410811447136E+0002  0.00000000000000E+0000 
 1.84200000000000E+0000  3.94410795934077E+0002  1.24770146298096E+0002  5.23930109050617E+0002  5.26410798736783E+0002  0.00000000000000E+0000 
 1.84300000000000E+0000  3.94370258243846E+0002  1.24747463713331E+0002  5.23930543610781E+0002  5.26410786017655E+0002  0.00000000000000E+0000 
 1.84400000000000E+0000  3.94329709251989E+0002  1.24724976852002E+0002  5.23930976937159E+0002  5.26410773289805E+0002  0.00000000000000E+0000 
 1.84500000000000E+0000  3.94289148642586E+0002  1.24702684868635E+0002  5.23931409033732E+0002  5.26410760553292E+0002  0.00000000000000E+0000 
 1.84600000000000E+0000  3.94248576100067E+0002  1.24680586919253E+0002  5.23931839904467E+0002  5.26410747808170E+0002  0.00000000000000E+0000 
 1.84700000000000E+0000  3.94207991309212E+0002  1.24658682161374E+0002  5.23932269553315E+0002  5.26410735054494E+0002  0.00000000000000E+0000 
 1.84800000000000E+0000  3.94167393955152E+0002  1.24636969754003E+0002  5.23932697984212E+0002  5.26410722292321E+0002  0.00000000000000E+0000 
 1.84900000000000E+0000  3.94126783723368E+0002  1.24615448857624E+0002  5.23933125201081E+0002  5.26410709521704E+0002  0.00000000000000E+0000 
 1.85000000000000E+0000  3.94086160299685E+0002  1.24594118634199E+0002  5.23933551207826E+0002  5.26410696742699E+0002  0.00000000000000E+0000 
 1.85100000000000E+0000  3.94045523370280E+0002  1.24572978247157E+0002  5.23933976008341E+0002  5.26410683955360E+0002  0.00000000000000E+0000 
